t,x,y
5.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.059999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.139999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.219999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.280000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.360000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.440000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.559999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.639999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.719999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.780000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.059999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.139999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.219999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.280000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.360000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.440000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.559999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.639999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.719999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.780000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.039999999999999147e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.060000000000000497e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.119999999999999218e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.140000000000000568e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.199999999999999289e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.220000000000000639e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.279999999999999361e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.300000000000000711e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.359999999999999432e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.380000000000000782e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.439999999999999503e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.460000000000000853e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.539999999999999147e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.560000000000000497e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.619999999999999218e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.640000000000000568e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.699999999999999289e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.720000000000000639e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.779999999999999361e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.800000000000000711e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.859999999999999432e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.880000000000000782e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.939999999999999503e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.960000000000000853e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.039999999999999147e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.060000000000000497e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.119999999999999218e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.140000000000000568e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.199999999999999289e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.220000000000000639e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.279999999999999361e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.300000000000000711e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.359999999999999432e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.380000000000000782e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.439999999999999503e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.460000000000000853e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.539999999999999147e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.560000000000000497e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.619999999999999218e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.640000000000000568e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.699999999999999289e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.720000000000000639e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.779999999999999361e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.800000000000000711e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.859999999999999432e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.880000000000000782e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.939999999999999503e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.960000000000000853e+00,5.717541503906250000e+02,-7.863529205322265625e+00
9.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
1.000000000000000000e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.001999999999999957e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.003999999999999915e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.006000000000000050e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.008000000000000007e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.009999999999999964e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.011999999999999922e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.014000000000000057e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.016000000000000014e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.017999999999999972e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.019999999999999929e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.022000000000000064e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.024000000000000021e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.025999999999999979e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.027999999999999936e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.030000000000000071e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.032000000000000028e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.033999999999999986e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.035999999999999943e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.038000000000000078e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.040000000000000036e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.041999999999999993e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.043999999999999950e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.046000000000000085e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.048000000000000043e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.050000000000000000e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.051999999999999957e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.053999999999999915e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.056000000000000050e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.058000000000000007e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.059999999999999964e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.061999999999999922e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.064000000000000057e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.066000000000000014e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.067999999999999972e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.069999999999999929e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.072000000000000064e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.074000000000000021e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.075999999999999979e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.077999999999999936e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.080000000000000071e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.082000000000000028e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.083999999999999986e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.085999999999999943e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.088000000000000078e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.090000000000000036e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.091999999999999993e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.093999999999999950e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.096000000000000085e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.098000000000000043e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.100000000000000000e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.101999999999999957e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.103999999999999915e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.106000000000000050e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.108000000000000007e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.109999999999999964e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.111999999999999922e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.114000000000000057e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.116000000000000014e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.117999999999999972e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.119999999999999929e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.122000000000000064e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.124000000000000021e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.125999999999999979e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.127999999999999936e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.130000000000000071e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.132000000000000028e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.133999999999999986e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.135999999999999943e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.138000000000000078e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.140000000000000036e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.141999999999999993e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.143999999999999950e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.146000000000000085e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.148000000000000043e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.150000000000000000e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.151999999999999957e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.153999999999999915e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.156000000000000050e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.158000000000000007e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.159999999999999964e+01,5.717541503906250000e+02,-7.863529205322265625e+00
1.161999999999999922e+01,5.717541503906250000e+02,-7.863529205322265625e+00
